RMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0   102    9.481481481       0.1054687500        3.225820250    
    0   103    9.846153846       0.1015625000        3.233540268    
    0   104    10.24000000       0.9765625000E-01    3.242425168    
    0   105    10.66666667       0.9375000000E-01    3.252672392    
    0   106    11.13043478       0.8984375000E-01    3.264518257    
    0   107    11.63636364       0.8593750000E-01    3.278246352    
    0   108    12.19047619       0.8203125000E-01    3.294197295    
    0   109    12.80000000       0.7812500000E-01    3.312779334    
    0   110    13.47368421       0.7421875000E-01    3.334478291    
    0   111    14.22222222       0.7031250000E-01    3.359863393    
    0   112    15.05882353       0.6640625000E-01    3.389581853    
    0   113    16.00000000       0.6250000000E-01    3.424328798    
    0   114    17.06666667       0.5859375000E-01    3.464770244    
    0   115    18.28571429       0.5468750000E-01    3.511388652    
    0   116    19.69230769       0.5078125000E-01    3.564227159    
    0   117    21.33333333       0.4687500000E-01    3.622559229    
    0   118    23.27272727       0.4296875000E-01    3.684629939    
    0   119    25.60000000       0.3906250000E-01    3.747737962    
    0   120    28.44444444       0.3515625000E-01    3.808840629    
    0   121    32.00000000       0.3125000000E-01    3.865471047    
    0   122    36.57142857       0.2734375000E-01    3.916460577    
    0   123    42.66666667       0.2343750000E-01    3.962220184    
    0   124    51.20000000       0.1953125000E-01    4.004938456    
    0   125    64.00000000       0.1562500000E-01    4.049847431    
    0   126    85.33333333       0.1171875000E-01    4.111857116       
