latitude,longitude
-26.33287109,15.09212732
-26.81154892,15.21191277
-27.06796523,15.32944805
-27.30712091,15.51131535
-27.60469536,16.06208316
-28.32180633,16.76017442
-28.8175873,17.10805816
-29.00604609,17.49408997
-29.05682365,18.01141496
-29.44729581,18.40403463
-30.07253335,18.70709329
-30.70222568,18.90606068
-31.22502817,19.14049555
-31.42560072,19.77356982
-31.42145489,20.62840666
-31.5687378,21.21287188
-32.00373081,21.92505894
-31.95452462,22.70276868
-31.90072071,23.25206635
-31.92037328,24.41636826
-31.95453392,25.91643675
-31.77997554,27.13348704
-31.09358973,28.32477401
-30.6889618,29.06741728
-30.21160235,29.93244501
-29.97318304,30.48896208
-29.8500315,31.78229261
-30.56196942,30.62871754
-31.59486634,29.54082705
-32.23259097,28.91879825
-32.80053561,28.41722175
-33.3558575,27.57545879
-33.45952952,27.22255242
-33.19736465,26.67627789
-33.13059336,25.99756237
-33.2595698,25.30351794
-33.03922395,24.01090055
-33.32663344,23.16557111
-33.17095502,21.93046547
-33.51032457,21.03176807
-33.15900911,20.3493562
-33.25718579,19.89140957
-32.8055513,19.44804605
-32.50687647,18.99363984
-32.2840644,18.53454616
-31.68505802,18.16495484
-30.91447157,17.70257291
-30.40183623,17.33870601
-29.54939683,17.00525298
-29.0597579,16.72954117
-28.60140014,16.36102866
-28.19419447,15.94288215
-27.8304664,15.61265845
-27.45024956,15.34920785
-27.09492506,15.23422214
-26.33287109,15.09212732
