latitude,longitude
-16.4489827,11.74739448
-16.9858534,12.77987805
-17.47921076,13.1784646
-17.804603,13.61292334
-17.72451544,14.33466241
-17.60726057,15.15724887
-17.65600263,15.86854751
-17.23781549,16.67336947
-16.71586574,17.60539685
-16.07063318,18.24529392
-15.29068213,18.97515749
-14.49414355,20.10305866
-13.79422693,21.15486381
-13.06896477,22.60030971
-12.54761521,23.14243719
-12.14252386,23.68695267
-11.45400112,24.47652252
-11.23649017,24.70847714
-10.60957918,25.53056161
-10.40182641,26.47280621
-10.49781466,27.9962329
-11.2503999,28.65198907
-11.9598194,28.98935242
-12.60747596,29.25286457
-13.2227225,29.51548826
-13.9389172,28.49731726
-14.52527356,27.820369
-14.84851967,27.3369999
-14.93917384,27.08976754
-15.44235824,27.55709337
-15.46127266,28.24722204
-15.47201575,29.04512581
-15.24329258,29.6786115
-15.42067216,30.4398962
-15.64198702,29.38905779
-16.05404254,28.59894224
-16.44294306,28.12494773
-16.3026986,27.18215745
-16.28104309,26.53370354
-16.61388495,25.86675765
-17.4833769,24.70734716
-18.04755863,23.88268124
-18.73377864,22.9354297
-19.30190087,22.64644727
-20.05862602,22.35450755
-20.87722988,21.40045527
-21.56155539,20.38181945
-21.98990224,19.34338282
-22.56460075,18.43781969
-23.20084409,17.79334058
-23.69571704,16.63903533
-23.94092978,16.11325535
-24.45284143,15.7268015
-25.52841879,15.36326088
-26.29846903,15.13712738
-25.88469435,14.86685132
-25.06836547,14.68923487
-24.18472632,14.37883204
-22.81554785,14.58984924
-22.02296211,14.14045543
-20.83776601,13.48596983
-20.27146384,13.25061306
-19.58960513,13.00454963
-18.93396584,12.44890263
-18.04231723,11.99421031
-17.30692429,11.75925616
-16.4489827,11.74739448
