latitude,longitude
-0.028969371,35.875185
-0.033223637,35.74304236
0.314592745,33.35579878
0.431234965,32.3402437
0.763447886,31.54108565
1.069393276,30.64969363
1.256569239,30.22872309
0.831071402,29.64281068
0.399063959,29.43039719
0.11175861,29.07927762
-0.360925335,29.14824707
-0.784988108,29.43601803
-1.125880521,30.03122069
-1.69587412,30.49376442
-2.744218773,30.33712553
-3.707920489,30.16297006
-4.422572072,30.14874018
-4.78167187,30.32332544
-5.588549185,30.21056044
-6.065893261,30.1295229
-6.498840655,30.068488
-7.3161488,30.35762255
-8.349686578,31.43799926
-9.284566496,32.46312722
-9.526493274,32.8062048
-9.636871696,33.60368781
-9.145808349,34.94184859
-7.69889276,36.18858177
-6.827788899,37.27737359
-5.822904476,37.54786946
-5.40785127,37.62756991
-5.333238122,37.6393711
-3.970808207,37.61220971
-3.168896653,37.30887804
-2.146170754,36.98450516
-0.645697836,36.68118067
0.457364409,36.8511312
1.088666715,36.62107719
1.776262818,36.06227881
2.471213869,35.5755949
3.06258983,35.18691057
3.471194376,34.73748977
3.880433112,34.18340629
4.03521897,33.23644122
3.842274575,32.90035047
3.614442482,32.57507044
3.683599001,31.97081215
3.097301678,32.89332348
3.266610856,33.46552174
3.083361466,34.12362471
2.679256342,34.75909496
2.131506094,35.19177456
1.450005938,35.44224539
0.818371173,35.67976388
-0.013870058,35.91500017
-0.553908643,35.99532395
-1.700606183,36.00600618
-3.964646319,36.83974781
-4.701229094,36.84085818
-5.77388882,36.58467516
-6.523786297,36.09445678
-7.22863505,35.68832336
-7.880456249,35.15314497
-8.175644691,34.85388502
-8.313952161,34.20792264
-8.148216344,33.48442952
-7.947721922,32.902102
-7.790418681,32.51508363
-7.419201415,32.11011607
-6.517485167,31.52299134
-5.924912351,31.31920545
-4.974749221,31.1443493
-4.360428154,31.07097012
-3.156482237,31.0296191
-1.917234825,31.17179356
-1.258429033,31.29336406
-0.495958523,31.86986358
-0.400891616,32.06096452
-0.32311913,32.41151999
-0.274660546,32.8836421
-0.212160881,33.2257089
-0.213760819,33.63118658
-0.201529875,33.99049083
-0.268034124,34.57196451
-0.33974372,34.97376607
-0.374990355,35.3924384
-0.415625483,35.71517746
-0.529607408,36.03399753
