0,961
1,203
2,2120
3,1152
4,2229
5,2113
6,105
7,338
8,2122
9,853
10,1675
11,634
12,618
13,1227
14,2044
15,2046
16,1987
17,928
18,123
19,2037
20,1973
21,165
22,1218
23,1500
24,55
25,189
26,1538
27,1571
28,1532
29,1138
30,317
31,792
32,1389
33,704
34,1410
35,1499
36,1327
37,554
38,802
39,821
40,257
41,1640
42,1769
43,1565
44,885
45,427
46,1055
47,1859
48,610
49,348
50,68
51,379
52,164
53,2163
54,1947
55,1269
56,919
57,895
58,2142
59,1441
60,697
61,2239
62,2337
63,970
64,1527
65,1434
66,44
67,809
68,1029
69,525
70,2089
71,303
72,756
73,1872
74,1893
75,108
76,1537
77,1777
78,1522
79,476
80,253
81,487
82,1222
83,452
84,1263
85,542
86,1286
87,192
88,1452
89,892
90,2174
91,135
92,842
93,1824
94,674
95,1808
96,1108
97,2184
98,747
99,1551
100,451
101,154
102,1319
103,319
104,420
105,201
106,1226
107,863
108,949
109,1511
110,1888
111,927
112,1875
113,1394
114,642
115,1591
116,209
117,1544
118,1135
119,435
120,1884
121,1025
122,923
123,1193
124,270
125,2202
126,948
127,1580
128,457
129,729
130,1986
131,54
132,1916
133,2045
134,1605
135,2286
136,2013
137,205
138,617
139,489
140,1080
141,1354
142,1393
143,942
144,932
145,184
146,1834
147,1596
148,1075
149,1097
150,104
151,2041
152,1576
153,1983
154,441
155,780
156,1912
157,873
158,1303
159,575
160,1711
161,2240
162,801
163,79
164,1046
165,1345
166,1936
167,599
168,1621
169,1209
170,2012
171,1022
172,2086
173,1518
174,981
175,990
176,1079
177,499
178,1021
179,1764
180,1619
181,1857
182,2124
183,926
184,1292
185,467
186,654
187,701
188,2054
189,541
190,775
191,2018
192,1639
193,493
194,2121
195,1192
196,1090
197,1968
198,757
199,714
200,1407
201,1378
202,208
203,2148
204,1774
205,2271
206,1004
207,1014
208,1542
209,6
210,2258
211,1740
212,86
213,1155
214,870
215,1457
216,2354
217,637
218,278
219,629
220,1232
221,2129
222,2260
223,1805
224,494
225,277
226,202
227,1615
228,1578
229,1689
230,1463
231,471
232,523
233,7
234,1093
235,565
236,580
237,73
238,2371
239,1010
240,1436
241,1776
242,1823
243,389
244,266
245,475
246,2097
247,2256
248,1241
249,1279
250,1230
251,247
252,416
253,1404
254,581
255,1955
256,352
257,1505
258,240
259,979
260,14
261,1992
262,1203
263,2228
264,710
265,2058
266,1352
267,685
268,909
269,1169
